ensembl_id,gene_symbol
ENSG00000000938,FGR
ENSG00000000971,CFH
ENSG00000001460,STPG1
ENSG00000001626,CFTR
ENSG00000002745,WNT16
ENSG00000002822,MAD1L1
ENSG00000002834,LASP1
ENSG00000002933,TMEM176A
ENSG00000003137,CYP26B1
ENSG00000004478,FKBP4
ENSG00000004779,NDUFAB1
ENSG00000004799,PDK4
ENSG00000004809,SLC22A16
ENSG00000004864,SLC25A13
ENSG00000004897,CDC27
ENSG00000004939,SLC4A1
ENSG00000005020,SKAP2
ENSG00000005059,MCUB
ENSG00000005073,HOXA11
ENSG00000005243,COPZ2
ENSG00000005339,CREBBP
ENSG00000005381,MPO
ENSG00000005421,PON1
ENSG00000005471,ABCB4
ENSG00000005483,KMT2E
ENSG00000005961,ITGA2B
ENSG00000006062,MAP3K14
ENSG00000006071,ABCC8
ENSG00000006125,AP2B1
ENSG00000006128,TAC1
ENSG00000006282,SPATA20
ENSG00000006283,CACNA1G
ENSG00000006377,DLX6
ENSG00000006453,BAIAP2L1
ENSG00000006468,ETV1
ENSG00000006638,TBXA2R
ENSG00000007062,PROM1
ENSG00000007168,PAFAH1B1
ENSG00000007314,SCN4A
ENSG00000007866,TEAD3
ENSG00000007944,MYLIP
ENSG00000008083,JARID2
ENSG00000008086,CDKL5
ENSG00000008196,TFAP2B
ENSG00000008300,CELSR3
ENSG00000008394,MGST1
ENSG00000008710,PKD1
ENSG00000008988,RPS20
ENSG00000009709,PAX7
ENSG00000009950,MLXIPL
ENSG00000009954,BAZ1B
ENSG00000010072,SPRTN
ENSG00000010165,METTL13
ENSG00000010310,GIPR
ENSG00000010318,PHF7
ENSG00000010319,SEMA3G
ENSG00000010327,STAB1
ENSG00000010379,SLC6A13
ENSG00000010610,CD4
ENSG00000010671,BTK
ENSG00000010704,HFE
ENSG00000011105,TSPAN9
ENSG00000011143,MKS1
ENSG00000011295,TTC19
ENSG00000011347,SYT7
ENSG00000011405,PIK3C2A
ENSG00000011454,RABGAP1
ENSG00000011523,CEP68
ENSG00000011566,MAP4K3
ENSG00000011677,GABRA3
ENSG00000012048,BRCA1
ENSG00000012660,ELOVL5
ENSG00000013016,EHD3
ENSG00000013293,SLC7A14
ENSG00000013523,ANGEL1
ENSG00000013810,TACC3
ENSG00000014123,UFL1
ENSG00000014138,POLA2
ENSG00000014257,ACP3
ENSG00000014914,MTMR11
ENSG00000015171,ZMYND11
ENSG00000015413,DPEP1
ENSG00000015520,NPC1L1
ENSG00000016082,ISL1
ENSG00000017427,IGF1
ENSG00000018280,SLC11A1
ENSG00000018408,WWTR1
ENSG00000018699,TTC27
ENSG00000019582,CD74
ENSG00000019991,HGF
ENSG00000020633,RUNX3
ENSG00000020922,MRE11
ENSG00000021574,SPAST
ENSG00000021645,NRXN3
ENSG00000021826,CPS1
ENSG00000022267,FHL1
ENSG00000022355,GABRA1
ENSG00000023041,ZDHHC6
ENSG00000023445,BIRC3
ENSG00000023516,AKAP11
ENSG00000023572,GLRX2
ENSG00000023892,DEF6
ENSG00000025434,NR1H3
ENSG00000025708,TYMP
ENSG00000025770,NCAPH2
ENSG00000026025,VIM
ENSG00000026103,FAS
ENSG00000026652,AGPAT4
ENSG00000027001,MIPEP
ENSG00000027697,IFNGR1
ENSG00000028137,TNFRSF1B
ENSG00000028839,TBPL1
ENSG00000029363,BCLAF1
ENSG00000029534,ANK1
ENSG00000029725,RABEP1
ENSG00000030066,NUP160
ENSG00000030304,MUSK
ENSG00000030419,IKZF2
ENSG00000032219,ARID4A
ENSG00000033011,ALG1
ENSG00000033170,FUT8
ENSG00000033800,PIAS1
ENSG00000035115,SH3YL1
ENSG00000035928,RFC1
ENSG00000036257,CUL3
ENSG00000036530,CYP46A1
ENSG00000036549,ZZZ3
ENSG00000037280,FLT4
ENSG00000037474,NSUN2
ENSG00000038295,TLL1
ENSG00000038427,VCAN
ENSG00000038945,MSR1
ENSG00000039068,CDH1
ENSG00000039139,DNAH5
ENSG00000039537,C6
ENSG00000039560,RAI14
ENSG00000040341,STAU2
ENSG00000041357,PSMA4
ENSG00000041515,MYO16
ENSG00000041880,PARP3
ENSG00000041982,TNC
ENSG00000041988,THAP3
ENSG00000043591,ADRB1
ENSG00000046604,DSG2
ENSG00000046651,OFD1
ENSG00000046889,PREX2
ENSG00000047056,WDR37
ENSG00000047249,ATP6V1H
ENSG00000047578,KATNIP
ENSG00000047579,DTNBP1
ENSG00000047617,ANO2
ENSG00000047849,MAP4
ENSG00000047936,ROS1
ENSG00000048052,HDAC9
ENSG00000048342,CC2D2A
ENSG00000048392,RRM2B
ENSG00000048405,ZNF800
ENSG00000048462,TNFRSF17
ENSG00000048540,LMO3
ENSG00000048828,FAM120A
ENSG00000049130,KITLG
ENSG00000049192,ADAMTS6
ENSG00000049239,H6PD
ENSG00000049541,RFC2
ENSG00000049618,ARID1B
ENSG00000049759,NEDD4L
ENSG00000050327,ARHGEF5
ENSG00000050344,NFE2L3
ENSG00000050628,PTGER3
ENSG00000051180,RAD51
ENSG00000051382,PIK3CB
ENSG00000051825,MPHOSPH9
ENSG00000052795,FNIP2
ENSG00000052841,TTC17
ENSG00000053900,ANAPC4
ENSG00000054523,KIF1B
ENSG00000054598,FOXC1
ENSG00000054938,CHRDL2
ENSG00000054983,GALC
ENSG00000055147,FAM114A2
ENSG00000055163,CYFIP2
ENSG00000055208,TAB2
ENSG00000055609,KMT2C
ENSG00000055950,MRPL43
ENSG00000055955,ITIH4
ENSG00000057294,PKP2
ENSG00000057593,F7
